,chembl_id,canonical_smiles
5792,CHEMBL3946232,Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C5=CCCC5)cc23)cc1Cl
2318,CHEMBL443171,OC(=O)C1=C(C(=O)c2c(O)cc(O)cc2O1)c3ccc(O)cc3
911,CHEMBL163188,CN(C)c1cc2c(Nc3cccc(C)c3)ncnc2cn1
997,CHEMBL286343,Brc1cccc(Nc2ncnc3cc(OCCCn4ccnc4)c(NC(=O)C=C)cc23)c1
2566,CHEMBL514436,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1
2626,CHEMBL460723,Brc1cccc(Nc2ncnc3cnc(CC(=O)\C=C\C(=O)NCCCn4ccnc4)cc23)c1
6483,CHEMBL3954906,COc1ccccc1Nc2ncc(Br)c(Nc3cccc(NC(=O)C=C)c3)n2
3120,CHEMBL1092250,COc1cc2nccc(Nc3cccc(c3)C#C)c2cc1OC
6282,CHEMBL3676358,COCC(=O)NCCOc1cc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2cc1NC(=O)C=C
463,CHEMBL340700,CN(CC(O)CO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1
822,CHEMBL80809,CC(=O)NCCNCc1ccc(cc1)c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2
4161,CHEMBL2048796,OCCn1ccc2ncnc(Nc3ccc(Oc4cccc5NC(=O)Cc45)c(Cl)c3)c12
5971,CHEMBL2103842,C[C@@H]1COC(=N1)Nc2ccc3ncnc(Nc4ccc(OCc5nccs5)c(Cl)c4)c3c2
5755,CHEMBL3818289,Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)[C@@H]5COC(=O)N5)cc23)cc1Cl
826,CHEMBL78018,NCc1ccc(cc1)c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2
1316,CHEMBL175101,CN(C)CCn1cnc2cc3c(Nc4cccc(Br)c4)ncnc3cc12
589,CHEMBL357367,CCO.Nc1ccc2sc3c(Nc4ccccc4)ncnc3c2c1
6669,CHEMBL4100647,CC1(C)OOC2(CCC(CC2)C(=O)Nc3ccc4ncnc(Nc5cccc(Cl)c5)c4c3)OO1
6278,CHEMBL3676354,CC(=O)CNCCOc1cc2ncnc(Nc3cc(Cl)c(Br)cc3F)c2cc1NC(=O)C=C
890,CHEMBL165788,CNc1cc2c(Nc3cccc(c3)C(F)(F)F)ncnc2cn1
6694,CHEMBL4088718,Brc1cccc(Nc2ncnc3ccc(NC(=S)NCc4ccccc4)cc23)c1
1007,CHEMBL27688,Cc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)c1
2761,CHEMBL483526,COc1cc(O)c2C(=O)Oc3cc(O)cc(C)c3c2c1
5015,CHEMBL3357655,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1NC(=O)\C(=C/CN(C)C)\F
5260,CHEMBL3622644,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(OCc4ccccn4)cc3)ncnc2cc1O[C@H]5CCOC5
1823,CHEMBL207584,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN4CCC[C@H]4C(=O)N
4088,CHEMBL2029439,COc1cc(ccc1Nc2ncc3CN(C(=O)N(c4cccc(NC(=O)C=C)c4)c3n2)c5ccc(cc5)c6ccccc6)N7CCN(C)CC7
6777,CHEMBL4084868,CN1CCN(CC1)c2ccc(Nc3ncc4CN(C(=O)N([C@H]5CCN(C5)C(=O)C6CCCC6)c4n3)c7ccccc7Cl)cc2C
1899,CHEMBL1204261,Cl.CCOc1cc2ncnc(Nc3cccc(F)c3)c2cc1OCC
5908,CHEMBL3961553,OC[C@@H](Nc1ncnc2oc(cc12)c3ccc(O)cc3)c4ccccc4
71,CHEMBL305246,CN1CCN(CC1)C(=O)c2cc(C)c(\C=C\3/C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c34)[nH]2
5236,CHEMBL3622673,CCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1NC(=O)\C=C\CN4CCCCC4
4554,CHEMBL2425086,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCC5(COC5)C4
5911,CHEMBL3953210,COc1ccc(cc1)c2oc3ncnc(N[C@H](C)c4cccc(F)c4)c3c2
5566,CHEMBL3758802,COc1cc(CO)ccc1c2cc3c(Nc4cccc(c4)C#C)ncnc3s2
4236,CHEMBL2148051,CC(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c12)S(=O)(=O)C
4688,CHEMBL3114699,O=C(\C=C\CN1CCOCC1)N2CCOc3cc4ncnc(Nc5cccc(c5)C#C)c4cc23
6778,CHEMBL4102822,CN1CCN(CC1)c2ccc(Nc3ncc4CN(C(=O)N([C@H]5CCN(C5)C(=O)C6CCCCC6)c4n3)c7ccccc7Cl)cc2C
5035,CHEMBL3357636,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C(=C/CN4CCCCC4)\F
2554,CHEMBL453376,CS(=O)(=O)CCNCc1nc(cs1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2
4423,CHEMBL2334003,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCNCCN
1055,CHEMBL297968,Cc1cccc(Nc2ncnc3cc(NC(=O)C=C)ccc23)c1
3859,CHEMBL1914667,COc1ccc(cc1)c2cc3c(N[C@H](C)c4ccccc4)ncnc3[nH]2
6738,CHEMBL4105329,Cc1n[nH]c2ccc(cc12)c3cc(N[C@@H](CO)c4ccccc4)cnc3c5cc(Cl)ccc5O
2018,CHEMBL248114,Cc1cncc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCC(N)CC6)c45)ccc23)c1
6696,CHEMBL3133904,Cc1cccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)c1F
2759,CHEMBL483531,COc1cc(O)c(C(=O)O)c(c1)c2cc(O)c(O)cc2C
2585,CHEMBL473944,Brc1cccc(Cc2ncnc3cc(OCCCn4ccnc4)c(NC(=O)C=C)cc23)c1
89,CHEMBL424093,Brc1cccc(Nc2ncnc3ccc(N\N=N\Cc4ccccc4)cc23)c1
5544,CHEMBL3758800,C[C@@H](Nc1ncnc2sc(cc12)c3ccc(cc3)C(=O)NCCN(C)C)c4ccccc4
3240,CHEMBL1172843,OC[C@@H](Nc1ncnc2oc(c3ccccc3)c(c4cccc(NC(=O)C=C)c4)c12)c5ccccc5
5249,CHEMBL3622654,COCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C4CC4
154,CHEMBL344486,CCOC(=O)\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
4974,CHEMBL3355880,COc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCCCn4ccnc4[N+](=O)[O-]
1135,CHEMBL65250,COc1cc2ncnc(Nc3ccc(F)c(c3)C#C)c2cc1OC
2340,CHEMBL489146,CC(=O)N\C=C\c1cc(O)ccc1O
76,CHEMBL69358,CCN(CC)CCNC(=O)c1cc(C)c(\C=C\2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)[nH]1
581,CHEMBL155278,Cc1cccc(Nc2ncnc3c4cc(N)ccc4sc23)c1
4887,CHEMBL3233786,FC1CCN(C\C=C\C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3s2)CC1
168,CHEMBL136102,CN(C)CCCNC(=O)\C=C\C(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
5279,CHEMBL3623290,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC(=O)N4CCN(C)C[C@H]4C
2419,CHEMBL441343,OC(=O)c1ccc(O)cc1
5031,CHEMBL3357640,F\C(=C\CN1CCOCC1)\C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2O[C@H]5CCOC5
6330,CHEMBL3663922,CCc1nc(C(=O)N)c(Nc2ccc(cc2)N3CCN(C)CC3)nc1Oc4cccc(NC(=O)\C=C\CN(C)C)c4
5320,CHEMBL3699595,COc1cc(ccc1Nc2ncc(c(Nc3cccc(NC(=O)C=C)c3)n2)C(F)(F)F)N4CCCN(CC4)C(=O)C(F)(F)F
883,CHEMBL162719,CN1CCN(CC1)c2cc3c(Nc4cccc(Br)c4)ncnc3cn2
1550,CHEMBL75177,Clc1cccc(Nc2ncnc3[nH]c4CCCCc4c23)c1
5319,CHEMBL3699588,COc1cc(ccc1Nc2ncc(c(Oc3cccc(NC(=O)C=C)c3)n2)C(F)(F)F)N4CCN(CC4)C(=O)C
5455,CHEMBL3739527,C[S+]([O-])c1ccc(\C=C/2\C(=C(CC(=O)OCCOc3cc4ncnc(Nc5cccc(c5)C#C)c4cc3OCCOC(=O)CC6=C(C)\C(=C\c7ccc(cc7)[S+](C)[O-])\c8ccc(F)cc68)c9cc(F)ccc29)C)cc1
201,CHEMBL343722,Brc1cccc(Nc2ncnc3ccc(NC(=O)C=C=C)cc23)c1
5567,CHEMBL3758351,COc1cc(CO)ccc1c2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3s2
6287,CHEMBL3676363,CN(C)CC(=O)NCCOc1cc2ncnc(Nc3ccc(Br)c(Cl)c3F)c2cc1NC(=O)C=C
1232,CHEMBL91980,Nc1ccc2c(Nc3cccc(I)c3)ncnc2c1
4592,CHEMBL2437469,COc1cc(ccc1Nc2ncc3N=CC(=O)N(c4cccc(NC(=O)C=C)c4)c3n2)N5CCN(C)CC5
1627,CHEMBL437879,COc1cc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2cc1OC
3426,CHEMBL1421,Cc1nc(Nc2ncc(s2)C(=O)Nc3c(C)cccc3Cl)cc(n1)N4CCN(CCO)CC4
6229,CHEMBL3671555,CCCNC(=O)NC(C)COc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=C
1394,CHEMBL51707,Fc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
2957,CHEMBL598797,COc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCCCCCC(=O)NO
4972,CHEMBL3355878,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCn4ccnc4[N+](=O)[O-]
1452,CHEMBL121796,Clc1cccc(Nc2[nH]cnc3nnc(NCc4ccccc4)c23)c1
2781,CHEMBL474431,CS(=O)(=O)CCNCc1cc(cs1)c2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2
4155,CHEMBL2048906,CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c12
1223,CHEMBL94191,COc1cc2ncnc(Nc3ccccc3)c2cc1OC
2965,CHEMBL596754,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1SCCCCCCC(=O)NO
4590,CHEMBL2437471,COc1ccc(Nc2ncc3N=C(C)C(=O)N(c4cccc(NC(=O)C=C)c4)c3n2)cc1
6168,CHEMBL3671495,FC(F)C(=O)NCCOc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=C
4220,CHEMBL2087359,Brc1cccc(Nc2ncnc3cc4OCCCSCCCOc4cc23)c1
5245,CHEMBL3622664,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CNC4CC4
4123,CHEMBL2035810,Nc1ncnc(Nc2ccc(OCc3ccccn3)c(Cl)c2)c1c4occ(CNC(=O)C=C)n4
5309,CHEMBL3633929,CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2c1
297,CHEMBL416611,OCC(O)Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc12
2276,CHEMBL255871,CO\N=C\c1c(N)ncnc1Nc2ccc3c(cnn3Cc4cccc(F)c4)c2
5713,CHEMBL3814882,Brc1cccc(Nc2ncnc3ccc(NC(=O)NCCN4CCCCC4)cc23)c1
1053,CHEMBL53690,FC(F)(F)c1cccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)c1
6327,CHEMBL3040543,Fc1cccc(COc2ccc(Nc3ncnc4ccc(cc34)c5oc(CNCCS(=O)(=O)CC(F)(F)F)cc5)cc2Cl)c1
6608,CHEMBL4070053,NP(=O)(OCCCC(=O)Oc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)N(CCCl)CCCl
5018,CHEMBL3357652,CCOc1cc2ncnc(Nc3ccc(OCC4CC4)c(Cl)c3)c2cc1NC(=O)\C(=C\CN(C)C)\F
2113,CHEMBL257859,Clc1cc(Nc2ncnc3[nH]nc(OCCCN4CCOCC4)c23)ccc1OCc5ccccn5
3254,CHEMBL607707,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C
4072,CHEMBL2032378,COc1cc(ccc1Nc2ncc3CN(C)C(=O)N(c4cccc(NC(=O)C=C)c4)c3n2)N5CCCCC5
4681,CHEMBL3114690,CN(C)C\C=C\C(=O)N1CCOc2cc3ncnc(Nc4cccc(c4)C#C)c3cc12
6826,CHEMBL4102886,COc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1OCCCN4C[C@H](O)[C@@H](O)[C@H](O)[C@H]4CO
3018,CHEMBL592215,Oc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCCCC=C=C
875,CHEMBL163369,OCCN(CCO)CCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
2157,CHEMBL408397,CN(CCO)c1c(Br)cccc1Nc2ncnc3ccncc23
